,2022,180,,180,,,
,2023,195,,195,,,
,2024,100,,100,,,
Honduras,,,,,,,Honduras
,2015,420,,420,,,
,2016,360,,360,,,
,2017,380,,380,,,
,2018,385,,385,,,
,2019,320,,320,,,
,2020,205,,205,,,
,2021,415,,415,,,
,2022,375,,375,,,
,2023,430,,430,,,
,2024,250,,250,,,
Bhutan,,,,,,,Bhutan
,2015,410,,410,,,
,2016,120,,120,,,
,2017,65,,65,,,
,2018,25,,25,,,
,2019,15,,15,,,
,2020,0,,0,,,
,2021,20,,20,,,
,2022,20,,20,,,
,2023,50,,50,,,
,2024,20,,20,,,
Palestinian Authority (Gaza/West Bank),,,,,,,Palestinian Authority (Gaza/West Bank)
,2015,400,,400,,,
,2016,405,,405,,,
,2017,320,,320,,,
,2018,455,,455,,,
,2019,580,,580,,,
,2020,480,,480,,,
,2021,985,,985,,,
,2022,865,,865,,,
,2023,725,,725,,,
,2024,465,,465,,,
Kenya,,,,,,,Kenya
,2015,380,,380,,,
,2016,475,,475,,,
,2017,465,,465,,,
,2018,470,,470,,,
,2019,515,,515,,,
,2020,305,,305,,,
,2021,825,,825,,,
,2022,985,,985,,,
,2023,1230,,1230,,,
,2024,710,,710,,,
"Indonesia, Republic of",,,,,,,"Indonesia, Republic of"
,2015,375,,375,,,
,2016,445,,445,,,
,2017,500,,500,,,
,2018,445,,445,,,
,2019,510,,510,,,
,2020,300,,300,,,
,2021,605,,605,,,
,2022,475,,475,,,
,2023,630,,630,,,
,2024,325,,325,,,
Belgium,,,,,,,Belgium
,2015,370,,370,,,
,2016,460,,460,,,
,2017,510,,510,,,
,2018,410,,410,,,
,2019,465,,465,,,
,2020,340,,340,,,
,2021,570,,570,,,
,2022,610,,610,,,
,2023,545,,545,,,
,2024,255,,255,,,
Bulgaria,,,,,,,Bulgaria
,2015,365,,365,,,
,2016,370,,370,,,
,2017,300,,300,,,
,2018,180,,180,,,
,2019,165,,165,,,
,2020,100,,100,,,
,2021,175,,175,,,
,2022,145,,145,,,
,2023,135,,135,,,
,2024,65,,65,,,
Ghana,,,,,,,Ghana
,2015,365,,365,,,
,2016,480,,480,,,
,2017,685,,685,,,
,2018,895,,895,,,
,2019,1025,,1025,,,
,2020,545,,545,,,
,2021,1055,,1055,,,
,2022,1240,,1240,,,
,2023,1645,,1645,,,
,2024,955,,955,,,
Rwanda,,,,,,,Rwanda
,2015,360,,360,,,
,2016,370,,370,,,
,2017,355,,355,,,
,2018,460,,460,,,
,2019,545,,545,,,
,2020,295,,295,,,
,2021,725,,725,,,
,2022,1030,,1030,,,
,2023,1005,,1005,,,
,2024,770,,770,,,
"Trinidad and Tobago, Republic of",,,,,,,"Trinidad and Tobago, Republic of"
,2015,345,,345,,,
,2016,320,,320,,,
,2017,375,,375,,,
,2018,510,,510,,,
,2019,590,,590,,,
,2020,295,,295,,,
,2021,490,,490,,,
,2022,515,,515,,,
,2023,535,,535,,,
,2024,300,,300,,,
"Sudan, Democratic Republic of",,,,,,,"Sudan, Democratic Republic of"
,2015,335,,335,,,
,2016,440,,440,,,
,2017,425,,425,,,
,2018,715,,715,,,
,2019,1255,,1255,,,
,2020,845,,845,,,
,2021,1745,,1745,,,
,2022,1575,,1575,,,
,2023,2010,,2010,,,
,2024,1050,,1050,,,
New Zealand,,,,,,,New Zealand
,2015,335,,335,,,
,2016,495,,495,,,
,2017,410,,410,,,
,2018,445,,445,,,
,2019,600,,600,,,
,2020,390,,390,,,
,2021,770,,770,,,
,2022,405,,405,,,
,2023,405,,405,,,
,2024,265,,265,,,
Malaysia,,,,,,,Malaysia
,2015,330,,330,,,
,2016,360,,360,,,
,2017,360,,360,,,
,2018,430,,430,,,
,2019,365,,365,,,
,2020,230,,230,,,
,2021,405,,405,,,
,2022,300,,300,,,
,2023,380,,380,,,
,2024,250,,250,,,
Kazakhstan,,,,,,,Kazakhstan
,2015,330,,330,,,
,2016,400,,400,,,
,2017,335,,335,,,
,2018,410,,410,,,
,2019,400,,400,,,
,2020,290,,290,,,
,2021,465,,465,,,
,2022,450,,450,,,
,2023,485,,485,,,
,2024,265,,265,,,
Armenia,,,,,,,Armenia
,2015,305,,305,,,
,2016,350,,350,,,
,2017,255,,255,,,
,2018,205,,205,,,
,2019,205,,205,,,
,2020,105,,105,,,
,2021,95,,95,,,
,2022,140,,140,,,
,2023,240,,240,,,
,2024,125,,125,,,
Czech Republic,,,,,,,Czech Republic
,2015,280,,280,,,
,2016,325,,325,,,
,2017,315,,315,,,
,2018,400,,400,,,
,2019,375,,375,,,
,2020,205,,205,,,
,2021,355,,355,,,
,2022,185,,185,,,
,2023,215,,215,,,
,2024,120,,120,,,
"Togo, Republic of",,,,,,,"Togo, Republic of"
,2015,265,,265,,,
,2016,245,,245,,,
,2017,205,,205,,,
,2018,345,,345,,,
,2019,415,,415,,,
,2020,240,,240,,,
,2021,325,,325,,,
,2022,560,,560,,,
,2023,675,,675,,,
,2024,610,,610,,,
Chile,,,,,,,Chile
,2015,260,,260,,,
,2016,250,,250,,,
,2017,310,,310,,,
,2018,370,,370,,,
,2019,455,,455,,,
,2020,305,,305,,,
,2021,770,,770,,,
,2022,600,,600,,,
,2023,745,,745,,,
,2024,570,,570,,,
"Benin, Republic of",,,,,,,"Benin, Republic of"
